VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
35.579692,8.2648962,11.118561,25.123014,14.73069755,0.949906229,0.328977096
35.580015,8.2914512,11.117051,25.204598,14.80915667,0.949801163,0.328965818
35.576349,8.3454694,11.110472,25.370136,15.02714628,0.949386733,0.328948548
35.571927,8.39871,11.106051,25.534376,15.1722169,0.949215747,0.32891777
35.568692,8.4257624,11.101305,25.616604,15.3156136,0.948895717,0.32891801
35.565456,8.479413,11.095697,25.781276,15.51296319,0.948560044,0.328898112
35.563407,8.5058816,11.092354,25.862422,15.62298911,0.948353436,0.328889599
35.563407,8.5598782,11.08804,26.028176,15.81697568,0.948041991,0.328869691
35.568799,8.5868658,11.086746,26.110836,15.9402971,0.947809371,0.328862155
35.565672,8.6402572,11.082001,26.274642,16.12094465,0.947539455,0.328843955
35.563191,8.6670718,11.076609,26.35687,16.28398638,0.947169148,0.328835397
35.55575,8.7199656,11.069922,26.518946,16.48225314,0.946839144,0.328820218
35.56125,8.7469098,11.068197,26.601606,16.6192304,0.94657073,0.328811343
35.556074,8.8007984,11.061834,26.766928,16.83052494,0.946214924,0.328793741
35.552946,8.8273322,11.058706,26.84829,16.93031932,0.946053896,0.32878564
35.550034,8.8813072,11.052991,27.013394,17.15197216,0.945675323,0.328774207
35.553485,8.9080784,11.049539,27.095622,17.31909975,0.945316147,0.328764492
35.546799,8.9614696,11.042853,27.258996,17.53447286,0.944955621,0.328752739
35.548524,8.9881976,11.041451,27.341878,17.62315192,0.944844427,0.328733732
35.544966,9.0415242,11.034549,27.505252,17.87261933,0.944388008,0.328719919
35.540867,9.0685982,11.030559,27.588128,17.9933689,0.944172998,0.328713793
35.541407,9.1223138,11.025059,27.752368,18.24837296,0.943716056,0.328703979
35.539681,9.1493446,11.02301,27.835028,18.33899645,0.943600915,0.328698954
35.538279,9.2032546,11.016215,28.000782,18.605195,0.943115179,0.328678485
35.535583,9.2300916,11.012333,28.08301,18.73722839,0.942873727,0.328671734
35.530838,9.2835044,11.005431,28.2466,18.98468362,0.942444615,0.32865918
35.529867,9.3372416,11.000578,28.411922,19.2033881,0.942115048,0.328638154
35.528249,9.3638182,10.996048,28.49285,19.37131834,0.941771929,0.328637472
35.527063,9.4175338,10.990979,28.657956,19.59832404,0.941423632,0.328618475
35.531161,9.444565,10.988715,28.740616,19.75392144,0.941134347,0.328613868
35.528034,9.4979994,10.982136,28.90399,20.01769649,0.940678683,0.32860513
35.528357,9.5250518,10.978901,28.986868,20.16548672,0.940410981,0.328598861
35.525553,9.5777942,10.971999,29.149158,20.43190305,0.939951457,0.32857876
35.524475,9.6049548,10.968116,29.23182,20.59298402,0.939647358,0.328578747
35.525553,9.6586924,10.962077,29.396926,20.87902239,0.939151346,0.328561306
35.524475,9.6852474,10.959489,29.478072,20.9987233,0.938968435,0.328557695
35.521024,9.7389844,10.952694,29.64296,21.26842847,0.938519661,0.328542912
35.519083,9.7659288,10.947949,29.725406,21.44460673,0.938178037,0.328538113
35.513906,9.8194496,10.940831,29.888778,21.71894117,0.937719361,0.32853299
35.516171,9.8463506,10.936625,29.971006,21.92301814,0.937309908,0.328529199
35.510347,9.8995908,10.929831,30.135246,22.16475854,0.936949165,0.328505392
35.511749,9.9267514,10.925949,30.217474,22.36172427,0.936565418,0.328510298
35.510886,9.980402,10.920017,30.38193,22.64172556,0.936114841,0.328497959
35.508945,10.0060488,10.915703,30.460696,22.8043258,0.935817467,0.328490485
35.5042,10.060067,10.908154,30.626232,23.09897569,0.935328622,0.328478769
35.5042,10.0870552,10.903948,30.708676,23.28701898,0.934976586,0.328475744
35.50118,10.1405328,10.897262,30.872484,23.57533349,0.934513123,0.328465076
35.501612,10.1674986,10.892948,30.955144,23.76981638,0.934148809,0.328459096
35.495572,10.2208898,10.883997,31.118302,24.10482419,0.933558247,0.328452684
35.494602,10.2749298,10.877957,31.28384,24.40027751,0.933095768,0.32844209
35.491906,10.3020042,10.872673,31.3665,24.60006702,0.932720114,0.328439711
35.489317,10.3552656,10.865447,31.530746,24.90565396,0.932229753,0.328418034
48.099292,0.0983488,11.998149,0.129834,3.172739972,0.329302433,0.757496496
48.096596,0.122871,11.998688,0.22829,3.170496364,0.463507659,0.538223312
48.09789,0.1364296,11.998796,0.28282,3.168476409,0.517145985,0.482390213
48.096812,0.170337,11.99858,0.418712,3.168717237,0.613225172,0.406811842
48.094978,0.18848,11.99858,0.49142,3.16859927,0.650455628,0.383541573
48.09142,0.2260636,11.998796,0.641594,3.173364013,0.708108363,0.352346811
48.091527,0.245115,11.999335,0.718196,3.170080241,0.731074615,0.341292628
48.090557,0.2850124,11.999227,0.877674,3.17499551,0.768356801,0.324736064
48.085704,0.305253,11.999227,0.958388,3.178390237,0.783463407,0.318506701
48.085057,0.346491,11.999658,1.123276,3.182111645,0.809008817,0.308464705
48.08139,0.3666668,11.999658,1.204638,3.174605397,0.81993009,0.304379241
48.083115,0.408251,11.999011,1.369526,3.197022243,0.837135734,0.298096568
48.075782,0.4288164,11.999766,1.451538,3.197567424,0.844896368,0.295422097
48.080311,0.4702924,11.999119,1.61686,3.210909307,0.85799854,0.290867731
48.079233,0.5118764,12.00009,1.78218,3.224304307,0.868987303,0.287219248
48.082253,0.5323118,11.999766,1.863326,3.235274661,0.873596164,0.285678298
48.076321,0.5739608,12.000413,2.028648,3.249309831,0.882245458,0.282927743
48.07287,0.5947204,11.999874,2.111308,3.2544865,0.886166631,0.281683392
48.069635,0.6359368,11.999011,2.274898,3.272723733,0.892940659,0.279545193
48.06985,0.6568262,11.999011,2.357776,3.282556751,0.896034557,0.278578711
48.066723,0.6983238,11.999011,2.521582,3.309646504,0.901399242,0.276938763
48.069958,0.7189104,11.998796,2.604676,3.305016764,0.904363173,0.276007611
48.066831,0.760646,11.998903,2.76913,3.335320468,0.90877592,0.274687718
48.066507,0.780865,11.999227,2.84833,3.355694748,0.910594564,0.274148361
48.062301,0.822687,11.999119,3.014084,3.373877631,0.914672282,0.272947602
48.059713,0.8434254,11.998903,3.096744,3.377251789,0.916682622,0.272358774
48.057448,0.8851392,11.998472,3.26055,3.415913197,0.919696487,0.271469292
48.05734,0.9059204,11.999011,3.342994,3.423502897,0.921364087,0.270990735
48.056478,0.9474396,11.99858,3.506368,3.459173336,0.924025325,0.270205409
48.053889,0.9686534,11.998796,3.589246,3.480932415,0.92521773,0.26987657
48.049144,1.0106052,11.998796,3.754134,3.513626759,0.927641685,0.269197956
48.048281,1.0312566,11.999011,3.834848,3.535723565,0.928643473,0.268917203
48.044075,1.0733384,11.999227,4.000384,3.566034887,0.930847309,0.268308842
48.04332,1.0942926,11.999119,4.08283,3.583086529,0.931846083,0.268023062
48.041703,1.1363308,11.999551,4.247288,3.625717836,0.933584288,0.267542677
48.046232,1.1573284,11.999011,4.329516,3.655358698,0.934262368,0.267311265
48.040193,1.1993666,11.999227,4.493756,3.696204615,0.935849609,0.266896244
48.038036,1.2415994,11.999766,4.65886,3.738766848,0.937315286,0.266502835
48.032752,1.2629,11.999658,4.741522,3.763920101,0.937951118,0.266349075
48.032428,1.3046788,11.999874,4.905544,3.800980623,0.939346271,0.265960065
48.028977,1.3258708,11.999227,4.987556,3.833401539,0.939802318,0.265835772
48.027251,1.3680388,11.998688,5.152012,3.885758265,0.940858868,0.265534863
48.029948,1.389058,11.998472,5.234456,3.910909758,0.94138007,0.265368168
48.022291,1.4314638,11.999227,5.399776,3.949033186,0.942552976,0.265096886
48.019702,1.4521154,11.999227,5.47984,3.976304694,0.942975818,0.264992299
48.020134,1.4948888,11.999443,5.644946,4.048552726,0.943601501,0.264818973
48.020889,1.5158864,11.999443,5.727822,4.063538948,0.94417772,0.264653196
48.022398,1.5581192,11.999982,5.891412,4.127782399,0.944833901,0.264472965
48.016036,1.5792464,11.999551,5.974506,4.137762548,0.94543309,0.264330875
